user_input,reference_contexts,reference,persona_name,query_style,query_length,synthesizer_name
"What is the purpose of the Guns, Explosives and Weapons Control Act 2021?","['Singapore Statutes Online Current version as at 13 Jan 2026 PDF created date on: 13 Jan 2026\nGuns, Explosives and Weapons Control Act 2021\n(No. 3 of 2021)\n  \nTable of Contents\nLong Title\nEnacting Formula\nPart 1 PRELIMINARY\n1 Short title and commencement\n2 General interpretation\n3 Meaning of ""gun"" and associated terms\n4 Meaning of ""explosive"" and associated terms\n5 Meaning of ""possession"" and associated terms\n6 Meaning of ""manufacture"" and associated terms\n7 Meaning of ""supply"" and associated terms\n8 Meanings of ""acquire"", ""transfer"" and associated terms\n9 Meanings of ""convey"", ""import"" and ""export"" and associated \nterms\n10 Purposes of Act\nPart 2 OFFENCES\nDivision 1 — Guns and gun accessories']","The purpose of the Guns, Explosives and Weapons Control Act 2021 is outlined in the Act itself, which includes provisions related to the definitions of terms such as 'gun', 'explosive', 'possession', 'manufacture', 'supply', 'acquire', 'transfer', 'convey', 'import', and 'export'.",Compliance Officer,PERFECT_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
What happen if you have guns without permission?,"['Singapore Statutes Online Current version as at 13 Jan 2026 PDF created date on: 13 Jan 2026\n11 Unauthorised possession or use of guns, etc.\n12 Unauthorised manufacture, etc., of guns, etc.\n13 Unauthorised possession of digital blueprints for manufacture of \nguns, etc.\n14 Unauthorised trade in guns, etc.\n15 Unauthorised supply or conveyance of guns, etc.\n16 Unauthorised acquisition of guns, etc.\n17 Penalties for offences for unlicensed regulated activities involving \nguns, etc.\n18 Breach of gun, etc., licence conditions\n19 Unauthorised shooting range or paintball range operations\n20 Penalties for offences for unauthorised shooting ranges, etc.\nDivision 2 — Explosives and explosive precursors\n21 Unauthorised use of explosive or explosive precursor\n22 Unauthorised possession of explosive or explosive precursor\n23 Unauthorised manufacture, etc., of explosives or explosive \nprecursors\n24 Unauthorised trade in explosives or explosive precursors\n25 Unauthorised supply or conveyance of explosives or explosive \nprecursors\n26 Unauthorised acquisition of explosives or explosive precursors']","If you have guns without permission, it is considered unauthorized possession, which is an offence under the Guns, Explosives and Weapons Control Act 2021, and penalties apply for such unlicensed regulated activities.",Regulatory Compliance Officer,POOR_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
What are the penalties for unauthorized possession of weapons according to the regulations?,"['Singapore Statutes Online Current version as at 13 Jan 2026 PDF created date on: 13 Jan 2026\n27 Penalties for offences for unlicensed regulated activities involving \nexplosives, etc.\n28 Breach of explosive, etc., licence conditions\nDivision 3 — Weapons and noxious substances\n29 Unauthorised possession of weapons and noxious substances\n30 Unauthorised manufacture, etc., of weapons\n31 Unauthorised trade in weapons or noxious substances\n32 Unauthorised supply or conveyance of weapons or noxious \nsubstances\n33 Unauthorised acquisition of weapon or noxious substance\n34 Penalties for offences for unlicensed regulated activities involving \nweapons or noxious substances\n35 Breach of weapon or noxious substance licence condition\nDivision 4 — Other offences\n36 Loss of guns and explosives, etc.\n37 Misuse of licence\n38 Unauthorised transfer of guns, explosives, etc.\n39 Surrender of guns, etc., by unauthorised persons\n40 Offences arrestable\nPart 3 SECURITY CLEARANCE\nDivision 1 — Interpretive provisions']","Penalties for offences for unlicensed regulated activities involving weapons include unauthorized possession of weapons and noxious substances, as outlined in the Singapore Statutes.",Regulatory Compliance Officer,PERFECT_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
How does the Singapore Statutes Online facilitate understanding of security clearance regulations for licensing?,"['Singapore Statutes Online Current version as at 13 Jan 2026 PDF created date on: 13 Jan 2026\n41 Meaning of ""close associate"" of licensee or applicant\n42 Meaning of holding an equity interest\nDivision 2 — Security clearance\n43 Security clearance a prerequisite for licence, etc.\n44 Validity of security clearance\n45 Granting security clearance\n46 Cancellation of security clearance\nDivision 3 — Offences\n47 Special workers need security clearance\n48 Notice about close associates\nPart 4 LICENSING\nDivision 1 — Licences\n49 Classes of licences\n50 Application for or to renew licence\n51 Grant of licences\n52 Licence validity\n53 Conditions of licences\n54 Modifying conditions of licence\n55 Restriction on transfer and surrender of licence\nDivision 2 — Class licences']","Singapore Statutes Online provides access to the current version of statutes, including detailed sections on security clearance, which is a prerequisite for licensing. It outlines the meanings of terms such as 'close associate' and 'holding an equity interest,' and specifies the processes for granting and canceling security clearances, thereby ensuring that individuals and entities can understand and adhere to the relevant regulations.",Compliance Officer,PERFECT_GRAMMAR,LONG,single_hop_specific_query_synthesizer
What are the key components of Part 6 regarding enforcement in the Singapore Statutes?,"['Singapore Statutes Online Current version as at 13 Jan 2026 PDF created date on: 13 Jan 2026\n56 Class licence\n57 Variation and revocation of class licence\n58 Conditions applicable to class licensee\nPart 5 BUSINESS OPERATION REQUIREMENTS\nDivision 1 — Management controls and record-keeping\n59 Change in management of licensee\n60 Accounts and statements\n61 Record-keeping and giving information\nDivision 2 — Standards and directions\n62 Standards for licensees and class licensees\n63 Directions affecting licensees and class licensees\n64 Security directions\n65 How security direction is given\nPart 6 ENFORCEMENT\nDivision 1 — Regulatory action\n66 Suspension or revocation, etc., of licence or class licence\n67 Regulatory action can continue despite licence expiry, etc.\n68 Proceedings for regulatory action\nDivision 2 — Enforcement powers\n69 Purpose for which enforcement powers are exercisable']","Part 6 of the Singapore Statutes focuses on enforcement and includes two divisions. Division 1 covers regulatory action, detailing the suspension or revocation of a licence or class licence, the continuation of regulatory action despite licence expiry, and the proceedings for regulatory action. Division 2 outlines the enforcement powers and the purposes for which these powers are exercisable.",Compliance Officer,WEB_SEARCH_LIKE,MEDIUM,single_hop_specific_query_synthesizer
"What role does the Minister play in the appeals process as outlined in the context of the Guns, Explosives and Weapons Control Act 2021?","['Singapore Statutes Online Current version as at 13 Jan 2026 PDF created date on: 13 Jan 2026\n70 Powers of entry, etc., at premises\n71 Powers in relation to conveyances\n72 Power to obtain information\n73 Offences\n74 Composition of offences\nPart 7 APPEALS\n75 Interpretation of this Part\n76 Appeal to Minister\n77 Decision on appeal\nPart 8 MISCELLANEOUS\n78 Administration of Act by licensing officer\n79 Authorised officers\n80 Compliance officers\n81 Offences by corporations\n82 Offences by unincorporated associations or partnerships\n83 Jurisdiction of courts\n84 Service of documents\n85 Disposal of unclaimed guns, etc.\n86 Act binds Government\n87 General exemption for law enforcement, etc.']","The Minister is involved in the appeals process as indicated in Part 7 of the context, specifically in section 76, which addresses the appeal to the Minister. This suggests that the Minister has the authority to review decisions made in relation to appeals under the provisions of the Act.",Regulatory Compliance Officer,PERFECT_GRAMMAR,LONG,single_hop_specific_query_synthesizer
What amendments were made to the Corrosive and Explosive Substances and Offensive Weapons Act?,['Singapore Statutes Online Current version as at 13 Jan 2026 PDF created date on: 13 Jan 2026\n88 Exemption for defence purposes\n89 Administrative exemption\n90 Regulations\n91 Amendment of Schedules\n92 Presentation to Parliament\nPart 9 AMENDMENTS TO OTHER ACTS AND FINAL PROVISIONS\n93 Amendments to Arms Offences Act\n94 Amendments to Corrosive and Explosive Substances and Offensive \nWeapons Act\n95 Amendments to Criminal Procedure Code\n96 Related amendment to Miscellaneous Offences (Public Order and \nNuisance) Act\n97 Consequential amendments to other Acts\n98 Repeal\n99 Saving and transitional provisions\nFIRST SCHEDULE Weapons\nSECOND SCHEDULE Explosive precursors\nTHIRD SCHEDULE Saving and transitional provisions'],The context mentions that there were amendments to the Corrosive and Explosive Substances and Offensive Weapons Act as part of the provisions outlined in Part 9 of the document.,Regulatory Compliance Officer,WEB_SEARCH_LIKE,SHORT,single_hop_specific_query_synthesizer
"What is the purpose of the GUNS, EXPLOSIVES AND WEAPONS CONTROL ACT 2021?","['Singapore Statutes Online Current version as at 13 Jan 2026 PDF created date on: 13 Jan 2026\nREPUBLIC OF SINGAPORE\nGOVERNMENT GAZETTE\nACTS SUPPLEMENT\nPublished by Authority\nNO. 3] FRIDAY, FEBRUARY 26 [2021\nThe following Act was passed by Parliament on 5 January 2021 and assented to by the \nPresident on 5 February 2021:—\nGUNS, EXPLOSIVES AND WEAPONS CONTROL ACT 2021\n(No. 3 of 2021)\nI assent.\nHALIMAH YACOB,\nPresident.\n5 February 2021.\nDate of Commencement: 1 July 2025\nAn Act to control the handling of guns, gun accessories, explosives, explosive precursors, \nweapons and noxious substances, to repeal the Arms and Explosives Act (Chapter 13 of \nthe 2003 Revised Edition), the Dangerous Fireworks Act (Chapter 72 of the \n2014 Revised Edition) and the Explosive Substances Act (Chapter 100 of the \n2014 Revised Edition), to make related amendments to the Arms Offences Act \n(Chapter 14 of the 2008 Revised Edition) and the Corrosive and Explosive Substances \nand Offensive Weapons Act (Chapter 65 of the 2013 Revised Edition) regarding offences \nand penalties, and to make consequential amendments to certain other Acts.\nBe it enacted by the President with the advice and consent of the Parliament of \nSingapore, as follows:\nPART 1']","The GUNS, EXPLOSIVES AND WEAPONS CONTROL ACT 2021 aims to control the handling of guns, gun accessories, explosives, explosive precursors, weapons, and noxious substances. It also repeals previous acts related to arms and explosives and makes related amendments regarding offences and penalties.",Regulatory Compliance Officer,PERFECT_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
"What role does the Minister play in the Guns, Explosives and Weapons Control Act 2021?","['Singapore Statutes Online Current version as at 13 Jan 2026 PDF created date on: 13 Jan 2026\nPRELIMINARY\nShort title and commencement\n1.  This Act is the Guns, Explosives and Weapons Control Act 2021 and comes into \noperation on a date that the Minister appoints by notification in the Gazette.\nGeneral interpretation\n2.—(1)  In this Act, unless the context otherwise requires —\n“applicant” means an applicant for or to renew a licence;\n“authorised officer”, in relation to any provision of this Act, means an individual \nwho is appointed as an authorised officer under section 79(1) for the purposes \nof that provision;\n“business” includes any business, whether or not carried on for profit;\n“chief executive officer”, in relation to a licensee, means an individual (by \nwhatever name described) who —\n(a) is in the direct employment of, or acting for or by arrangement with, \nthe licensee; and\n(b) is principally responsible for the management and conduct of the \nbusiness of the licensee insofar as it relates to carrying on a regulated \nactivity,\nand includes an individual for the time being performing all or any of the \nfunctions or duties of a chief executive officer;\n“class licence” means a class licence determined under an order made under \nsection 56(1), and includes a class licence as from time to time varied under \nsection 57;\n“class licensee” means a person to which a class licence applies;\n“compliance officer” means an individual appointed under section 80;\n“container” means any thing in or by which a gun, a major part of a gun or a gun \naccessory, an explosive or explosive precursor, or a weapon or noxious \nsubstance, is wholly or partly cased, covered, enclosed, contained or packed, \nand includes any covering or wrapping, but excludes a conveyance;\n“convey” means carriage on any conveyance (whether or not in the course of a \nbusiness) and includes any operation incidental to the whole course of carriage,']","The Minister is responsible for appointing the date on which the Guns, Explosives and Weapons Control Act 2021 comes into operation, as stated in the preliminary section of the Act.",Regulatory Compliance Officer,POOR_GRAMMAR,LONG,single_hop_specific_query_synthesizer
What is the definition of a corporation according to the Companies Act in Singapore?,"['Singapore Statutes Online Current version as at 13 Jan 2026 PDF created date on: 13 Jan 2026\nsuch as loading, unloading and storage in transit;\n“conveyance” includes any aircraft, train, vehicle, vessel or other mode of \ntransport of passengers or goods;\n“corporation” means any body corporate formed or incorporated or existing in or \noutside Singapore and includes any foreign company within the meaning of the \nCompanies Act (Cap. 50);\n“director” has the meaning given by section 4(1) of the Companies Act;\n“dispose” means destroy or handle with a view to destroying, and includes \nrendering harmless, but excludes discharging or firing an explosive in the \ncourse of mining, quarrying or an industrial application or as a display or \nprovision of entertainment;\n“explosive”, “explosive device” and “explosive substance” have the meanings \ngiven by section 4;\n“granted” or “grant”, for a licence, includes granted or grant on renewal and \nrequired to be treated as granted under section 6(5) or 7(5) or the Third \nSchedule;\n“gun” and “gun accessory” have the meanings given by section 3;\n“handle” includes to store, manufacture, repair, dispose of, convey, import, export \nor supply;\n“law enforcement agency” means —\n(a) the Singapore Police Force; or\n(b) any public sector agency which is charged with the duty of \ninvestigating offences or charging offenders under any written law \nand prescribed in Regulations for the purposes of this definition;\n“licence” means a licence granted under Part 4 that —\n(a) authorises the licensee granted the licence to carry on a regulated \nactivity specified in the licence; and\n(b) is in force;\n“licensee” means a person to whom a licence is granted under this Act but does \nnot include a class licensee;\n“Licensing Officer”, in relation to any provision of this Act, means an individual \nappointed under section 78(1) as a Licensing Officer for the purposes of that']","According to the Companies Act (Cap. 50), a corporation is defined as any body corporate formed or incorporated or existing in or outside Singapore, and it includes any foreign company within the meaning of the Companies Act.",Compliance Officer,WEB_SEARCH_LIKE,LONG,single_hop_specific_query_synthesizer
